Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.23.15.163 A. M.,Capture Start Frame,453465,Total Frames in Take,2650,Total Exported Frames,2650,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936
,ID,"CAD80","CAD80","CAD80","CAD10","CAD10","CAD10"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
293,2.441667,0.003071,0.032584,0.013836,,,
294,2.450000,0.003069,0.032593,0.013828,,,
295,2.458333,0.003073,0.032595,0.013833,,,
296,2.466667,0.003064,0.032590,0.013837,,,
297,2.475000,0.003061,0.032588,0.013834,,,
298,2.483333,0.003058,0.032588,0.013832,,,
299,2.491667,0.003077,0.032578,0.013830,,,
300,2.500000,0.003070,0.032570,0.013835,,,
301,2.508333,0.003078,0.032587,0.013835,,,
302,2.516667,0.003069,0.032587,0.013843,,,
303,2.525000,0.003064,0.032579,0.013840,,,
304,2.533333,0.003075,0.032574,0.013833,,,
305,2.541667,0.003077,0.032576,0.013823,,,
306,2.550000,0.003078,0.032579,0.013828,,,
307,2.558333,0.003052,0.032589,0.013828,,,
308,2.566667,0.003065,0.032599,0.013841,,,
309,2.575000,0.003078,0.032587,0.013838,,,
310,2.583333,0.003079,0.032575,0.013840,,,
311,2.591667,0.003068,0.032570,0.013844,,,
312,2.600000,0.003057,0.032575,0.013838,,,
313,2.608333,0.003064,0.032581,0.013833,,,
314,2.616667,0.003058,0.032588,0.013831,,,
315,2.625000,0.003080,0.032568,0.013835,,,
316,2.633333,0.003073,0.032578,0.013840,,,
317,2.641667,0.003071,0.032588,0.013832,,,
318,2.650000,0.003065,0.032592,0.013831,,,
319,2.658333,0.003066,0.032593,0.013834,,,
320,2.666667,0.003070,0.032585,0.013831,,,
321,2.675000,0.003068,0.032579,0.013829,,,
322,2.683333,0.003059,0.032578,0.013826,,,
323,2.691667,0.003051,0.032592,0.013831,,,
324,2.700000,0.003056,0.032591,0.013835,,,
325,2.708333,0.003055,0.032591,0.013827,,,
326,2.716667,0.003077,0.032586,0.013836,,,
327,2.725000,0.003071,0.032582,0.013839,,,
328,2.733333,0.003065,0.032582,0.013839,,,
329,2.741667,0.003063,0.032595,0.013828,,,
330,2.750000,0.003060,0.032584,0.013832,,,
331,2.758333,0.003061,0.032586,0.013827,,,
332,2.766667,0.003072,0.032597,0.013828,,,
333,2.775000,0.003057,0.032591,0.013819,,,
334,2.783333,0.003064,0.032584,0.013826,,,
335,2.791667,0.003061,0.032591,0.013825,,,
336,2.800000,0.003070,0.032591,0.013823,,,
337,2.808333,0.003069,0.032587,0.013821,,,
338,2.816667,0.003070,0.032587,0.013816,,,
339,2.825000,0.003056,0.032591,0.013817,,,
340,2.833333,0.003053,0.032587,0.013832,,,
341,2.841667,0.003073,0.032580,0.013835,,,
342,2.850000,0.003068,0.032582,0.013826,,,
343,2.858333,0.003061,0.032577,0.013824,,,
344,2.866667,0.003057,0.032584,0.013834,,,
345,2.875000,0.003062,0.032580,0.013830,,,
346,2.883333,0.003073,0.032584,0.013834,,,
347,2.891667,0.003067,0.032577,0.013835,,,
348,2.900000,0.003062,0.032573,0.013830,,,
349,2.908333,0.003058,0.032573,0.013830,,,
350,2.916667,0.003055,0.032589,0.013824,,,
351,2.925000,0.003072,0.032579,0.013822,,,
352,2.933333,0.003072,0.032579,0.013828,,,
353,2.941667,0.003067,0.032583,0.013831,,,
354,2.950000,0.003064,0.032579,0.013828,,,
355,2.958333,0.003066,0.032587,0.013829,,,
356,2.966667,0.003069,0.032598,0.013832,,,
357,2.975000,0.003080,0.032580,0.013838,,,
358,2.983333,0.003067,0.032585,0.013841,,,
359,2.991667,0.003059,0.032577,0.013830,,,
360,3.000000,0.003061,0.032590,0.013831,,,
361,3.008333,0.003068,0.032597,0.013833,,,
362,3.016667,0.003070,0.032598,0.013836,,,
363,3.025000,0.003076,0.032576,0.013844,,,
364,3.033333,0.003062,0.032584,0.013835,,,
365,3.041667,0.003055,0.032598,0.013834,,,
366,3.050000,0.003064,0.032597,0.013836,,,
367,3.058333,0.003060,0.032585,0.013823,,,
368,3.066667,0.003076,0.032580,0.013820,,,
369,3.075000,0.003063,0.032581,0.013835,,,
370,3.083333,0.003071,0.032594,0.013826,,,
371,3.091667,0.003065,0.032598,0.013823,,,
372,3.100000,0.003058,0.032607,0.013820,,,
373,3.108333,0.003071,0.032593,0.013831,,,
374,3.116667,0.003067,0.032576,0.013828,,,
375,3.125000,0.003061,0.032587,0.013826,,,
376,3.133333,0.003070,0.032586,0.013824,,,
377,3.141667,0.003071,0.032575,0.013826,,,
378,3.150000,0.003059,0.032563,0.013835,,,
379,3.158333,0.003053,0.032567,0.013843,,,
380,3.166667,0.003060,0.032562,0.013828,,,
381,3.175000,0.003073,0.032575,0.013825,,,
382,3.183333,0.003056,0.032571,0.013822,,,
383,3.191667,0.003053,0.032566,0.013830,,,
384,3.200000,0.003060,0.032556,0.013828,,,
385,3.208333,0.003057,0.032573,0.013826,,,
386,3.216667,0.003059,0.032562,0.013827,,,
387,3.225000,0.003057,0.032575,0.013827,,,
388,3.233333,0.003056,0.032581,0.013829,,,
389,3.241667,0.003057,0.032573,0.013837,,,
390,3.250000,0.003064,0.032582,0.013827,,,
391,3.258333,0.003061,0.032584,0.013829,,,
392,3.266667,0.003058,0.032578,0.013829,,,
393,3.275000,0.003063,0.032575,0.013827,,,
394,3.283333,0.003073,0.032580,0.013837,,,
395,3.291667,0.003069,0.032583,0.013842,,,
396,3.300000,0.003066,0.032581,0.013835,,,
397,3.308333,0.003064,0.032593,0.013826,,,
398,3.316667,0.003069,0.032590,0.013822,,,
399,3.325000,0.003068,0.032587,0.013831,,,
400,3.333333,0.003081,0.032586,0.013834,,,
401,3.341667,0.003071,0.032594,0.013823,,,
402,3.350000,0.003060,0.032587,0.013814,,,
403,3.358333,0.003066,0.032581,0.013819,,,
404,3.366667,0.003071,0.032585,0.013825,,,
405,3.375000,0.003070,0.032585,0.013830,,,
406,3.383333,0.003075,0.032575,0.013822,,,
407,3.391667,0.003056,0.032590,0.013829,,,
408,3.400000,0.003065,0.032582,0.013825,,,
409,3.408333,0.003068,0.032571,0.013820,,,
410,3.416667,0.003068,0.032578,0.013825,,,
411,3.425000,0.003069,0.032581,0.013828,,,
412,3.433333,0.003055,0.032574,0.013835,,,
413,3.441667,0.003052,0.032574,0.013837,,,
414,3.450000,0.003058,0.032575,0.013824,,,
415,3.458333,0.003065,0.032576,0.013839,,,
416,3.466667,0.003062,0.032570,0.013834,,,
417,3.475000,0.003050,0.032572,0.013851,,,
418,3.483333,0.003056,0.032577,0.013839,,,
419,3.491667,0.003069,0.032578,0.013830,,,
420,3.500000,0.003067,0.032575,0.013831,,,
421,3.508333,0.003071,0.032574,0.013843,,,
422,3.516667,0.003065,0.032570,0.013846,,,
423,3.525000,0.003061,0.032567,0.013830,,,
424,3.533333,0.003056,0.032578,0.013833,,,
425,3.541667,0.003070,0.032575,0.013836,,,
426,3.550000,0.003067,0.032564,0.013840,,,
427,3.558333,0.003067,0.032569,0.013836,,,
428,3.566667,0.003071,0.032578,0.013840,,,
429,3.575000,0.003071,0.032579,0.013851,,,
430,3.583333,0.003058,0.032581,0.013837,,,
431,3.591667,0.003071,0.032571,0.013830,,,
432,3.600000,0.003080,0.032582,0.013832,,,
433,3.608333,0.003067,0.032583,0.013840,,,
434,3.616667,0.003074,0.032583,0.013831,,,
435,3.625000,0.003062,0.032578,0.013832,,,
436,3.633333,0.003068,0.032584,0.013836,,,
437,3.641667,0.003070,0.032579,0.013828,,,
438,3.650000,0.003080,0.032600,0.013826,,,
439,3.658333,0.003070,0.032589,0.013835,,,
440,3.666667,0.003061,0.032580,0.013829,,,
441,3.675000,0.003058,0.032585,0.013832,,,
442,3.683333,0.003075,0.032583,0.013826,,,
443,3.691667,0.003075,0.032579,0.013827,,,
444,3.700000,0.003072,0.032583,0.013830,,,
445,3.708333,0.003062,0.032588,0.013833,,,
446,3.716667,0.003060,0.032586,0.013835,,,
447,3.725000,0.003064,0.032584,0.013831,,,
448,3.733333,0.003064,0.032601,0.013831,,,
449,3.741667,0.003070,0.032589,0.013830,,,
450,3.750000,0.003059,0.032591,0.013835,,,
451,3.758333,0.003068,0.032588,0.013838,,,
452,3.766667,0.003064,0.032583,0.013823,,,
453,3.775000,0.003073,0.032591,0.013835,,,
454,3.783333,0.003071,0.032602,0.013838,,,
455,3.791667,0.003069,0.032592,0.013830,,,
456,3.800000,0.003062,0.032579,0.013836,,,
457,3.808333,0.003059,0.032575,0.013831,,,
458,3.816667,0.003075,0.032585,0.013833,,,
459,3.825000,0.003067,0.032578,0.013835,,,
460,3.833333,0.003068,0.032577,0.013826,,,
461,3.841667,0.003060,0.032583,0.013837,,,
462,3.850000,0.003068,0.032581,0.013826,,,
463,3.858333,0.003071,0.032584,0.013840,,,
464,3.866667,0.003069,0.032582,0.013828,,,
465,3.875000,0.003071,0.032580,0.013836,,,
466,3.883333,0.003066,0.032595,0.013829,,,
467,3.891667,0.003066,0.032578,0.013828,,,
468,3.900000,0.003060,0.032588,0.013826,,,
469,3.908333,0.003075,0.032592,0.013828,,,
470,3.916667,0.003080,0.032575,0.013828,,,
471,3.925000,0.003080,0.032579,0.013835,,,
472,3.933333,0.003068,0.032592,0.013830,,,
473,3.941667,0.003067,0.032588,0.013829,,,
474,3.950000,0.003079,0.032584,0.013823,,,
475,3.958333,0.003082,0.032581,0.013826,,,
476,3.966667,0.003078,0.032585,0.013823,,,
477,3.975000,0.003074,0.032575,0.013830,,,
